,feature,value
135,states_[IN],0.0019
136,sector_Utilities,0.0019
137,"industryGroup_Pharmaceuticals, Biotechnology & Life Sciences",0.0019
138,"industryGroup_Food, Beverage & Tobacco",0.0019
139,area_code_425.0,0.0019
140,area_code_303.0,0.0019
141,subIndustry_Movies & Entertainment,0.0018
142,marketing_medium_Affiliate,0.0018
143,job_role_human_resources,0.0018
144,industry_Renewable Electricity,0.0018
145,industry_Food Products,0.0018
146,area_code_407.0,0.0018
147,subIndustry_Diversified Support Services,0.0017
148,states_[DC],0.0017
149,industryGroup_Diversified Financial Services,0.0017
150,area_code_347.0,0.0017
151,industry_Diversified Financial Services,0.0016
152,industryGroup_Independent Power and Renewable Electricity Producers,0.0016
153,area_code_800.0,0.0016
154,subIndustry_Publishing,0.0015
155,industryGroup_Capital Goods,0.0015
156,subIndustry_Restaurants,0.0014
157,subIndustry_Renewable Energy,0.0014
158,subIndustry_Food,0.0014
159,subIndustry_Financial Services,0.0014
160,states_[UT],0.0014
161,area_code_323.0,0.0014
162,subIndustry_Advertising,0.0013
163,states_[WV],0.0013
164,states_[AL],0.0013
165,marketing_program_Search Experiments,0.0013
166,area_code_801.0,0.0013
167,states_[WI],0.0012
168,industry_Pharmaceuticals,0.0012
169,job_role_legal,0.0011
170,subIndustry_Real Estate,0.001
171,subIndustry_Pharmaceuticals,0.001
172,industry_Real Estate,0.001
173,industryGroup_Real Estate,0.001
174,area_code_805.0,0.001
175,area_code_305.0,0.001
176,sector_other,0.0009
177,marketing_program_Organic Other,0.0009
178,industry_Insurance,0.0009
179,marketing_program_other,0.0008
180,industryGroup_Insurance,0.0008
181,subIndustry_Insurance,0.0007
182,industry_Capital Markets,0.0007
183,industryGroup_Diversified Financials,0.0007
184,subIndustry_Automotive,0.0006
185,marketing_program_Review/Native,0.0006
186,marketing_medium_Social,0.0006
187,marketing_medium_Review,0.0006
188,industry_Automotive,0.0006
189,area_code_847.0,0.0006
190,industryGroup_Automobiles & Components,0.0004
191,marketing_medium_other,0.0003
